,Accuracy,Precision,Recall,F1-Score,Support
O,0.7026447462473195,0.9087377948781878,0.7087029502327088,0.7674658466532889,14.38
B-LOCATION,0.5692307692307692,0.17866666666666667,0.22166666666666668,0.17885714285714285,0.67
I-LOCATION,0.2727272727272727,0.03,0.03,0.03,0.11
B-PERSON,0.575,0.16033333333333336,0.225,0.17652380952380953,0.41
I-PERSON,0.5,0.0525,0.07,0.057,0.16
B-ORGANIZATION,0.5454545454545454,0.0425,0.06,0.04733333333333333,0.11
I-ORGANIZATION,0.5,0.006666666666666666,0.01,0.008,0.04
B-GPE,0.0,0.0,0.0,0.0,0.0
I-GPE,0.0,0.0,0.0,0.0,0.0
B-TITLE,0.05223880597014925,0.03666666666666667,0.0265,0.027714285714285712,1.37
I-TITLE,0.0,0.0,0.0,0.0,0.32
B-LANGUAGE,0.0,0.0,0.0,0.0,0.0
I-LANGUAGE,0.0,0.0,0.0,0.0,0.0
B-EVENT,0.0,0.0,0.0,0.0,0.0
I-EVENT,0.0,0.0,0.0,0.0,0.0
B-WORK_OF_ART,0.0,0.0,0.0,0.0,0.0
I-WORK_OF_ART,0.0,0.0,0.0,0.0,0.0
B-DATE,0.0,0.0,0.0,0.0,0.0
I-DATE,0.0,0.0,0.0,0.0,0.0
